,Title,Pre-Production,Link,start_year,end_year,certificate,runtime,genre,ratings,review,stars,votes
172,Anazâ,No,/title/tt2176165/,2012,No Finale yet,18,300 min," Drama, Horror            ",7.6,"A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.","Atsushi Abe,Natsumi Takamori,Tomoaki Maeno,Greg Ayres","11,878"
173,Gedo senki,No,/title/tt0495596/,2006,No Finale yet,U,115 min," Adventure, Fantasy            ",6.4,"In a mythical land, a man and a young boy investigate a series of unusual occurrences.","Gorô Miyazaki,Timothy Dalton,Willem Dafoe,Mariska Hargitay,Jun'ichi Okada","36,446"
174,Great Pretender,No,/title/tt11680468/,2020,No Finale yet,18,23 min," Adventure, Comedy            ",8.0,"A Japanese conman crosses paths with a French rival, and gets entangled in conspiracies and scams beyond his wildest dreams.","Wolf Williams,Alan Lee,Aaron Phillips,Kausar Mohammed","2,974"
175,Kokuriko-zaka kara,No,/title/tt1798188/,2011,No Finale yet,PG,91 min," Drama, Family            ",7.4,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,"Gorô Miyazaki,Sarah Bolger,Chris Noth,Anton Yelchin,Christina Hendricks","37,396"
176,Bakemonogatari,Yes,/title/tt1480925/,2009,2010,NA,NA,NA,NA,NA,NA,NA
177,The Animatrix,Yes,/title/tt0328832/,2003,No Finale yet,NA,NA,NA,NA,NA,NA,NA
178,Fate/stay night: Unlimited Blade Works,No,/title/tt3621796/,2014,2015,16,24 min," Action, Fantasy            ",8.0,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.","Mela Lee,Bryce Papenbrook,Noriaki Sugiyama,Kana Ueda","6,465"
179,"No Game, No Life",Yes,/title/tt3431758/,2014,No Finale yet,NA,NA,NA,NA,NA,NA,NA
180,Ao no ekusoshisuto,Yes,/title/tt1799631/,2011,2012,NA,NA,NA,NA,NA,NA,NA
181,Kengan Ashura,No,/title/tt9058134/,2019,No Finale yet,18,24 min, Action            ,8.0,"A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches.","Kaiji Tang,Michael C. Pizzuto,Keith Silverstein,Erika Harlacher","3,517"
182,Megalo Box,Yes,/title/tt7965802/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
183,Cowboy Bebop: Tengoku no tobira,No,/title/tt0275277/,2001,No Finale yet,U,115 min," Action, Crime            ",7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.","Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,Melissa Fahn,Nicholas Guest,Kôichi Yamadera","43,721"
184,Steins;Gate 0,Yes,/title/tt5514358/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
185,Tower of God,Yes,/title/tt12057106/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
186,Ôkami kodomo no Ame to Yuki,No,/title/tt2140203/,2012,No Finale yet,U,117 min," Drama, Fantasy            ",8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii","40,006"
187,Ginga eiyû densetsu,Yes,/title/tt0096633/,1988,1997,NA,NA,NA,NA,NA,NA,NA
188,Star Wars: Visions,Yes,/title/tt13622982/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
189,Hotarubi no mori e,Yes,/title/tt2061702/,2011,No Finale yet,NA,NA,NA,NA,NA,NA,NA
190,Tonikaku Kawaii,Yes,/title/tt12311976/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
191,"Sentouin, Hakenshimasu!",Yes,/title/tt13758670/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
192,Kal Hee,No,/title/tt0102587/,1991,No Finale yet,U,118 min," Drama, Romance            ",7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,"Isao Takahata,Miki Imai,Toshirô Yanagiba,Yoko Honna,Mayumi Izuka","28,223"
193,"Kumo Desu ga, Nanika?",Yes,/title/tt12598008/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
194,Kaichou wa meido-sama!,Yes,/title/tt1634208/,2010,No Finale yet,NA,NA,NA,NA,NA,NA,NA
195,Generator Rex,Yes,/title/tt1636691/,2010,2013,NA,NA,NA,NA,NA,NA,NA
196,Nana,Yes,/title/tt0810705/,2006,2007,NA,NA,NA,NA,NA,NA,NA
197,Ano hi mita hana no namae o bokutachi wa mada shiranai.,Yes,/title/tt1913273/,2011,No Finale yet,NA,NA,NA,NA,NA,NA,NA
198,Afro Samurai,Yes,/title/tt0465316/,2007,No Finale yet,NA,NA,NA,NA,NA,NA,NA
199,Redline,Yes,/title/tt1483797/,2009,No Finale yet,NA,NA,NA,NA,NA,NA,NA
200,Sôru îtâ,Yes,/title/tt1214085/,2008,2009,NA,NA,NA,NA,NA,NA,NA
201,Satsuriku no Tenshi,Yes,/title/tt8670784/,2018,No Finale yet,NA,NA,NA,NA,NA,NA,NA
202,B: The Beginning,No,/title/tt7944664/,2018,No Finale yet,18,25 min," Action, Crime            ",7.2,"In this anime series, scientists hope ""new humans"" will create universal peace, but they're kidnapped by an evil group with very different plans.","Hiroaki Hirata,Hiroki Touchi,Asami Seto,Johnny Yong Bosch","4,099"
203,Rakudai Kishi no Cavalry,Yes,/title/tt5100366/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
204,Tokyo Ghoul: Root A,Yes,/title/tt5497534/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
205,Ergo Proxy,No,/title/tt0791205/,2006,No Finale yet,18,25 min," Action, Adventure            ",8.0,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.","Kôji Yusa,Akiko Yajima,Rachel Hirschfeld,Liam O'Brien","12,815"
206,Hyouka,Yes,/title/tt2340841/,2012,No Finale yet,NA,NA,NA,NA,NA,NA,NA
207,Bishôjo senshi Sêrâ Mûn,No,/title/tt0103369/,1992,1997,All,30 min," Action, Adventure            ",7.7,"A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth.","Stephanie Sheh,Kotono Mitsuishi,Kate Higgins,Aya Hisakawa","5,549"
208,Made in Abyss: Fukaki Tamashî no Reimei,Yes,/title/tt10068916/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
209,Given,Yes,/title/tt10479420/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
210,Charlotte,Yes,/title/tt4574736/,2015,2016,NA,NA,NA,NA,NA,NA,NA
211,The Transformers: The Movie,No,/title/tt0092106/,1986,No Finale yet,U,84 min," Action, Adventure            ",7.3,"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","Nelson Shin,Orson Welles,Robert Stack,Leonard Nimoy,Norman Alden","37,809"
212,Date a Live,Yes,/title/tt2575684/,2013,No Finale yet,NA,NA,NA,NA,NA,NA,NA
213,Heaven Official's Blessing,Yes,/title/tt13375866/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
214,Ultraman,Yes,/title/tt8699270/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
215,Lupin III: The First,No,/title/tt10621032/,2019,No Finale yet,U,93 min," Action, Adventure            ",6.9,"Lupin III goes on a grand adventure to uncover the secrets of the Bresson Diary, which is tied to the legacy of his famous grandfather.","Takashi Yamazaki,Kan'ichi Kurita,Kiyoshi Kobayashi,Daisuke Namikawa,Miyuki Sawashiro","2,029"
216,Yuri!!! On Ice,Yes,/title/tt6112556/,2016,No Finale yet,NA,NA,NA,NA,NA,NA,NA
217,Memorîzu,No,/title/tt0113799/,1995,No Finale yet,U,113 min," Comedy, Fantasy            ",7.6,"""Memories"" is made up of three separate science-fiction stories. In the first, ""Magnetic Rose,"" four space travelers are drawn into an abandoned spaceship that contains a world created by ...                See full summary »","Kôji Morimoto,Tensai Okamura,Katsuhiro Ôtomo,Marc Swint,Robbie Daymond,Frank Todaro,Laura Post","16,207"
218,Batman: Gotham Knight,No,/title/tt1117563/,2008,No Finale yet,PG-13,75 min," Action, Crime            ",6.7,A collection of key events mark Bruce Wayne's life as he journeys from beginner to Dark Knight.,"Yasuhiro Aoki,Futoshi Higashide,Toshiyuki Kubooka,Hiroshi Morioka,Jong-Sik Nam,Shôjirô Nishimi,Yûichirô Hayashi,Kevin Conroy,Jason Marsden,Scott Menville,George Newbern","26,803"
219,Jibaku Shounen Hanako-kun,Yes,/title/tt10777610/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
220,Dragon Ball Kai: Doragon bôru kai,Yes,/title/tt1409055/,2009,2015,NA,NA,NA,NA,NA,NA,NA
221,Shingeki no Kyojin: Chronicle,Yes,/title/tt12415546/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
222,Rurôni Kenshin - Meiji kenkaku romantan,Yes,/title/tt0182629/,1996,1999,NA,NA,NA,NA,NA,NA,NA
223,Serial Experiments Lain,Yes,/title/tt0500092/,1998,No Finale yet,NA,NA,NA,NA,NA,NA,NA
224,FLCL,Yes,/title/tt0279077/,2000,2018,NA,NA,NA,NA,NA,NA,NA
225,Eden,Yes,/title/tt10545250/,NA,No Finale yet,NA,NA,NA,NA,NA,NA,NA
226,Ore dake Haireru Kakushi Dungeon,Yes,/title/tt12728856/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
227,Zankyô no teroru,Yes,/title/tt3613454/,2014,No Finale yet,NA,NA,NA,NA,NA,NA,NA
228,Kanashimi no beradonna,Yes,/title/tt0071203/,1973,No Finale yet,NA,NA,NA,NA,NA,NA,NA
229,Tôkyô goddofâzâzu,No,/title/tt0388473/,2003,No Finale yet,UA,90 min," Adventure, Comedy            ",7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.","Satoshi Kon,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,Shôzô Îzuka","32,777"
230,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,No,/title/tt0190641/,1998,No Finale yet,U,96 min," Action, Adventure            ",6.3,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","Kunihiko Yuyama,Michael Haigney,Veronica Taylor,Rachael Lillis,Eric Stuart,Jay Goede","40,607"
231,Môsô dairinin,Yes,/title/tt0433722/,2004,No Finale yet,NA,NA,NA,NA,NA,NA,NA
232,Trigun,Yes,/title/tt0251439/,1998,No Finale yet,NA,NA,NA,NA,NA,NA,NA
233,Toki o kakeru shôjo,No,/title/tt0808506/,2006,No Finale yet,U,98 min," Adventure, Comedy            ",7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.","Mamoru Hosoda,Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi","61,600"
234,Yôjû toshi,No,/title/tt0098692/,1987,No Finale yet,A,82 min," Action, Fantasy            ",6.7,"Two agents, a lady-killer human and a voluptuous demon, attempt to protect a signatory to a peace treaty between the human world and the demon world from radicalized demons.","Yoshiaki Kawajiri,Yûsaku Yara,Toshiko Fujita,Ichirô Nagai,Takeshi Aono","6,735"
235,Kuzu no honkai,No,/title/tt6197170/,2017,No Finale yet,18,22 min," Drama, Romance            ",6.9,A perfect couple struggles under a secret longing each has for someone else.,"Chika Anzai,Shintarô Asanuma,Greg Cote,Maggie Flecknoe","1,326"
236,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,Yes,/title/tt1773185/,2011,No Finale yet,NA,NA,NA,NA,NA,NA,NA
237,Rebelde,Yes,/title/tt0414766/,2004,2006,NA,NA,NA,NA,NA,NA,NA
238,GTO,No,/title/tt0315008/,1999,2000,18,24 min," Comedy, Drama            ",8.5,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.","Steve Blum,Tom Fahn,Jun'ichi Suwabe,Wataru Takagi","7,262"
239,Fainaru fantajî sebun adobento chirudoren,No,/title/tt0385700/,2005,No Finale yet,U,101 min," Action, Adventure            ",7.2,An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.,"Tetsuya Nomura,Takeshi Nozue,Takahiro Sakurai,Ayumi Itô,Shôtarô Morikubo,Maaya Sakamoto","55,274"
240,Arifureta Shokugyou de Sekai Saikyou,Yes,/title/tt10431290/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
241,Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,Yes,/title/tt2902582/,2013,No Finale yet,NA,NA,NA,NA,NA,NA,NA
242,Boruto: Naruto the Movie,Yes,/title/tt4618398/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
243,Ôran kôkô hosutobu,Yes,/title/tt0816397/,2006,No Finale yet,NA,NA,NA,NA,NA,NA,NA
244,Kôkaku kidôtai: Stand Alone Complex,No,/title/tt0346314/,2002,2005,18,24 min," Action, Crime            ",8.5,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar","18,088"
245,Herushingu,Yes,/title/tt0325547/,2001,2002,NA,NA,NA,NA,NA,NA,NA
246,Fruits Basket,Yes,/title/tt0328738/,2001,No Finale yet,NA,NA,NA,NA,NA,NA,NA
247,Sekirei,Yes,/title/tt1339238/,2008,2010,NA,NA,NA,NA,NA,NA,NA
248,Chuunibyou demo koi ga shitai!,Yes,/title/tt2321542/,2012,No Finale yet,NA,NA,NA,NA,NA,NA,NA
249,Heisei tanuki gassen ponpoko,No,/title/tt0110008/,1994,No Finale yet,U,119 min," Comedy, Drama            ",7.3,A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.,"Isao Takahata,Shinchô Kokontei,Makoto Nonomura,Yuriko Ishida,Norihei Miki","26,381"
